wiki name,geopandas name
United States of America (the),United States of America
"Tanzania, the United Republic of",Tanzania
Congo (the Democratic Republic of the),Dem. Rep. Congo
Dominican Republic (the),Dominican Rep.
Taiwan (Province of China),Taiwan
Bolivia (Plurinational State of),Bolivia
Bosnia and Herzegovina,Bosnia and Herz.
Moldova (the Republic of),Moldova
Korea (the Republic of),South Korea
Netherlands (the),Netherlands
Philippines (the),Philippines
Malta,nan
Hong Kong,nan
Macao,nan
R̩union,nan
United Kingdom of Great Britain and Northern Ireland (the),United Kingdom
